"$(R, B)$","$(R^*, B)$","$(R, B^*)$","$(R^*, B^*)$"
0.49999999999999994,0.7556352810871577,0.2443647189128424,0.49999999999999994
0.49961712403897923,0.7566720867579698,0.24348041643719393,0.5001819306812458
0.49894038545955655,0.7576246774543421,0.2427391599179509,0.5001055451430245
0.49924380476661656,0.7584716296873573,0.24217308878574778,0.5000639982034999
0.499999532589806,0.7587705835055878,0.24193366169040764,0.49999370221459133
0.5001740482013668,0.7593550385251346,0.2412282884304783,0.5001056047853591
0.4994383452807453,0.7600711326724462,0.24078850266459603,0.5001197430830159
0.4997725912654225,0.7602834234970219,0.24054626643000002,0.49998306048971264
0.49946890633442326,0.760675526417861,0.24019306678299235,0.5000813749569273
0.49915882098664677,0.7613334582649112,0.23998370312265344,0.4999544993446744
0.4990437786104992,0.7615471632753441,0.23953104545301634,0.49995821093781057
0.4988552878900957,0.7620112099322632,0.23954646222516157,0.4999179419292643
0.49892621101814205,0.7622738788396785,0.23940815824415143,0.4997266418676712
0.49901108067231,0.7625150544714547,0.23917349397095283,0.49987807290013664
0.49905156657960664,0.7625703608391166,0.2388857305733019,0.5001031937812915
0.4990879690946366,0.7628253838399255,0.23876361526897505,0.5001808287561625
0.4989992188966031,0.7631200433102028,0.2386589542512263,0.5001229472975236
0.4987355583846584,0.7632710497738636,0.2384327990129378,0.5001909373025339
0.49886353182152765,0.7635616797760879,0.2383796783216566,0.5001830279633253
0.499355607109918,0.7637619385708773,0.2383561694072563,0.5002845331478297
0.4992869200952207,0.7638463287625606,0.23817268455480833,0.5003566188905689
0.4996378924542288,0.7639660575420939,0.2381062558148862,0.5003427117462347
0.49993526744668043,0.7641780426159098,0.23805965776449747,0.5004103716873359
0.4997981542498313,0.7643117911325225,0.2378742681285046,0.5002856590616949
0.499599777753959,0.7644440768730383,0.2376572419814847,0.5002023454987236
0.4992020813269197,0.7645946132181122,0.2376496399769231,0.5002371447240854
0.4991191513473218,0.7646964532992224,0.2374720494818239,0.5002654486930452
0.4990884950305655,0.7648797720621565,0.23743096978323952,0.5003096510496644
0.49924776834653256,0.7649922807512719,0.23748656885474134,0.500383973499609
0.4991891509162777,0.7651820297538919,0.2373766373929228,0.500629159588691
0.4990852499662677,0.7652918952791753,0.2372798456860689,0.5006524470926181
0.4988626648507698,0.7653725868929265,0.2369963318027135,0.5007511265047553
0.4990009585364348,0.7655610092899472,0.23681551746093665,0.5007572209034641
0.4991606438885188,0.7655522821174755,0.23678077569936454,0.50078426731368
0.49934313072802083,0.7655228614410265,0.2366796745048275,0.5009081515641344
0.49933218745574537,0.7654740801401044,0.23677492184643223,0.5008730705435841
0.49921240131253297,0.7657292519260871,0.23684704004651655,0.5009649835074068
0.4994212479955772,0.7657846461322082,0.2366964370324118,0.5007788827662356
0.49907893757881755,0.7658594299014971,0.2365962294645772,0.5006814463906679
0.49921434084910765,0.7659672054909495,0.23640117442489644,0.5005045524787259
0.4991590463319938,0.7658619720404815,0.2362971507111004,0.5004868934701505
0.4991057569597922,0.7658911773160468,0.23629479797999442,0.5004109689503216
0.4991928685507553,0.7658141284090061,0.23632989228224094,0.5004076113202127
0.499220048321478,0.7657630477668206,0.2362241910605533,0.5004613761715281
0.4992278342446002,0.7658467824290369,0.23616144618637827,0.5004057913279272
0.4990755754642377,0.7658181968745882,0.23608446830646734,0.5004384794041632
0.49899700581687706,0.7658670643456947,0.2360684013330283,0.5004271116276057
0.4989323734993367,0.7659783144402019,0.2360654433415924,0.5004658069126178
0.49908365328582116,0.7658915042124829,0.2360145549689068,0.5005292361016161
