Closeness centrality,Betweenness centrality,Eigenvector centrality
0.371250968384938,0.3026909712950034,0.32725571440343326
0.3888983239552083,0.3123069047823051,0.3435547807821152
0.4039344406105767,0.32094488867829474,0.35735878922331676
0.41745654503327406,0.3284660754659811,0.36887608247820897
0.42879549098711034,0.33525020255257415,0.37968506458390927
0.4397641071826931,0.3416927468011369,0.38929999412459404
0.44994895700389087,0.3476271938696948,0.3982483865609696
0.4582431791909637,0.35322537132759757,0.40644768043610635
0.46650886720699447,0.3581366308905097,0.4135113560610538
0.47395568077708883,0.3628396487302924,0.4201859104791833
0.4811233940764053,0.3670200980553831,0.42640714981445704
0.4874042715805182,0.3712495410752312,0.43219512736534393
0.4933591464579372,0.3750402119582228,0.4373962244462842
0.4988255398296748,0.37870760795765934,0.44273301573681134
0.5037410080429569,0.3823346927359182,0.4473397801248968
0.5083852726339846,0.3857435953163181,0.45189719763423514
0.5129377634903516,0.3884108606082497,0.4562970954719732
0.517141542709698,0.39162047450697346,0.4603852123266077
0.5206457113932625,0.39421039633589217,0.4640465307950953
0.5243511024292873,0.39723869779424315,0.4676560358674554
0.5276620122619612,0.3997712472319151,0.47096796111864636
0.530731354871342,0.40230559947288175,0.474372634953501
0.5340432339367899,0.4045866803852296,0.47772270153565116
0.5369645555319741,0.40693092437973694,0.48073534178734956
0.5397497739047464,0.4092451353824795,0.48354613448031264
0.5421744573308777,0.41130427270803915,0.4861004846328101
0.5447005161560259,0.41346263882778883,0.48842861130920123
0.5471064682466141,0.41542895377056155,0.4907743489202971
0.5494318153970952,0.41721103976827073,0.4931251158983958
0.5515710551596796,0.4187865214955403,0.4954621800541785
0.5536056296585768,0.42067477138601955,0.4974395242430667
0.5553332527155621,0.42230276812458734,0.49927106462017723
0.5573869558290776,0.42403173396735744,0.5013286585955463
0.5593142216023288,0.42574108978640074,0.5034020125302657
0.561164572411323,0.42731012906326693,0.50509447502489
0.5628794897511745,0.42868633211912,0.5068673902685654
0.5645663821382924,0.4300535654018994,0.5086900473042778
0.5662586286637505,0.4316441998966447,0.5103421896463541
0.567626681901099,0.43309783787830725,0.5119912275508974
0.568732414739721,0.4346487477433558,0.5135703194112151
0.5701109597971818,0.4360281471620917,0.5148460118651731
0.571462060519109,0.43727682412781127,0.5164055156991924
0.5728267143920537,0.43862172397472476,0.5177135702607204
0.5740729913251275,0.43981155447307774,0.5189365847617823
0.5754696353516889,0.4411025828964114,0.5202609581052746
0.5765737573334493,0.44240457998718963,0.5214506633637527
0.5775666423672461,0.4434289002730163,0.5227079713894193
0.5788177582872616,0.4442580472820771,0.5238807069629534
0.5799213751006727,0.445272980269065,0.5251374890971727
0.5811365368924486,0.44621571999151455,0.5263210753006773
0.5821364982226018,0.44715471934746387,0.5272545051194916
0.5832400490197847,0.448131385053696,0.5284037982885033
0.5839886657285378,0.4490883582758405,0.5293987102016146
0.5849936064734133,0.4499343130778843,0.5304317713867549
0.5858198780294759,0.45081369062850657,0.5313464502198568
0.586712641101196,0.4516967563563278,0.5322355008253042
0.5877768453213581,0.4526010156893011,0.5332423374853785
0.5886358297280689,0.45344073817885644,0.5339592724673071
0.5895350484954722,0.45441000461269476,0.5347499887981317
0.5904132420375447,0.4550798509452101,0.5355836259786654
0.5911108776947903,0.4559543061721732,0.5364712039731347
0.5920563306425917,0.4567939219961313,0.5373231287881383
0.5928027471435596,0.4576016315218816,0.5382124000912004
0.5934292284006176,0.45824305189989767,0.5390770204907683
0.5941013448242665,0.45878431407158093,0.5399484970512916
0.5947612086740907,0.4594800789231787,0.5406038647944832
0.5953289095344869,0.46018128394786517,0.5411246718651918
0.5960118918358274,0.46104423844259274,0.541714865181996
0.5966732046421581,0.46153510640290896,0.5425102467754256
0.5972614717502291,0.4623309457402809,0.5430400572378429
0.5978666605109726,0.4629070979558792,0.5438250920882721
0.5982962810962966,0.4636005813834237,0.544335810395499
0.5989850713881797,0.4642087939550522,0.5448545505937831
0.5994471577616792,0.4647688368290833,0.5454466841266055
0.600010893050486,0.46535986489090125,0.5460156580177948
0.6005753053896462,0.4659724558071045,0.5465983009764324
0.6011037898164998,0.4666344671409263,0.5471964997577742
0.601615865310599,0.46718272969993296,0.5477937128414502
0.6021717055507612,0.46773873851936604,0.5483765920936753
0.6027291267540854,0.4683129455130004,0.5489461224890685
0.6032349538621441,0.46881333153499555,0.5494785085589419
0.6036109073965767,0.46932875751983244,0.5499928475308887
0.6040841086329465,0.46988517175786915,0.5505651701017534
0.6044959539164031,0.4703962277867986,0.5509542379956102
0.6049218518230584,0.4708236398230635,0.5514195419228735
0.6053987577157023,0.47134096134130105,0.5519258244967776
0.6058832629665201,0.47182614528947137,0.552404014618108
0.6062816403051677,0.47239547824861616,0.5528696056285294
0.6067320943841428,0.4727644382596645,0.5532594704069321
0.6072542236575466,0.47326632509721445,0.553679991555355
0.6075885181884754,0.4736377882988585,0.554152436171705
0.6080340528836456,0.473976799884765,0.5545514461038253
0.6084962054086336,0.47439282722031517,0.5548617305729036
0.608913695156894,0.47472729708467487,0.5552432064832797
0.6092177927719465,0.47514038294856964,0.5556279773465052
0.6095582817009941,0.47560614982979826,0.556018092250193
0.6099127795833983,0.4760588897239071,0.5564112220758385
0.6102345164106785,0.4763813979782193,0.5568469421084236
0.6105962202644324,0.47677398110491764,0.557310676212208
0.6109641473289371,0.47710535460498477,0.5577692421061057
0.6113489847227461,0.4775801475013524,0.5582064938612328
0.6117093573371309,0.4778954597848979,0.5585561211038572
0.6119897031506969,0.47831512898546186,0.5588241072850052
0.6122133996200376,0.47865761623281683,0.5591483744437586
0.6125709031066332,0.4790197785129837,0.5594925118613993
0.6128897749701003,0.4793801139148359,0.559830098619847
0.6132648952526153,0.47963019016985087,0.5602007161403492
0.6135277611289227,0.48002628083421184,0.5604912202598361
0.6138525264639194,0.48031218997456837,0.5607125336516869
0.6140721469232383,0.48053320324903626,0.5610327892865544
0.6143343178617252,0.48087034930724587,0.5614495572542304
0.6144836245433973,0.4812054991195095,0.5616940449588316
0.614711918980569,0.4814395989781636,0.562010094742676
0.6150532316484125,0.48173630463185274,0.562350808540234
0.6153197268297924,0.481989671498778,0.5625247460282401
0.6155126452835604,0.4823219532394123,0.5628106723067642
0.61571123270203,0.4826229552169915,0.5629998943425487
0.615928523339942,0.48277558235836404,0.563286484600117
0.6162615654121505,0.48304142732695765,0.5635649720197714
0.6164631399648273,0.48339664023372514,0.5638305956344588
0.6165919249108506,0.4837146504867662,0.5640499410761892
0.6168168386989028,0.484044283544663,0.5642743138894543
0.6170383341180726,0.48434236155608607,0.5645242050901402
0.6172172971605812,0.48461485464316645,0.5647734396018297
0.6174510761599346,0.4848338952729181,0.5650099001904098
0.6177068224369768,0.4851422202548222,0.5651805508201995
0.617915719449511,0.485424286296644,0.5654350149885631
