Centrality,Analytical
1.1515249858027886e-05,1.3344375802933788e-05
1.1454846736366868e-05,1.3219434217877994e-05
1.1271396212690838e-05,1.32292014017362e-05
1.093148119385451e-05,1.3381170438284525e-05
1.0678664010747128e-05,1.3190682558411991e-05
1.0571624362118167e-05,1.3474762775049525e-05
1.0387195558497893e-05,1.3949130476863854e-05
9.74753818320581e-06,1.4454070269470016e-05
1.026458757814803e-05,1.3506736177168067e-05
1.010856322025645e-05,1.4283028949330463e-05
9.919852298248503e-06,1.4886098642716538e-05
1.0380039402684914e-05,1.4449622726046185e-05
1.0771000503754989e-05,1.4984172416595621e-05
1.09941518334989e-05,1.560007390492376e-05
1.1061936611313966e-05,1.562138866588563e-05
1.0826332997546674e-05,1.537472762479723e-05
1.1092007520400762e-05,1.541032929215869e-05
1.1300015379358445e-05,1.5628068842239394e-05
1.167537901850736e-05,1.5461965167546942e-05
1.18692927173913e-05,1.5471144322478266e-05
1.2388676032121688e-05,1.5736266770349273e-05
1.2405938703408502e-05,1.5741887391971845e-05
1.2110162993294405e-05,1.5664398690958565e-05
1.2395333764078162e-05,1.5411501980359974e-05
1.2491832744460456e-05,1.5343262929584157e-05
1.2633307807894491e-05,1.521576248912925e-05
1.2542030434822173e-05,1.5554836661049768e-05
1.2343657466602547e-05,1.4965166671418529e-05
1.222172012668265e-05,1.4916098721489331e-05
1.2727730963917045e-05,1.4678378540933246e-05
1.270575279559126e-05,1.4531866322214532e-05
1.3123761314946463e-05,1.4143772440379883e-05
1.310029449115216e-05,1.439109556450527e-05
1.3034284661437554e-05,1.4188348057336088e-05
1.3320022064954428e-05,1.430219041247119e-05
1.3698602211747857e-05,1.3867865984485536e-05
1.3689617934952218e-05,1.4188543107822738e-05
1.3918089097233553e-05,1.4474322771162974e-05
1.4122797818250403e-05,1.4770808796449755e-05
1.4199424132908938e-05,1.5262413816534042e-05
1.4054801188517332e-05,1.5264928899988214e-05
1.424078127229246e-05,1.5130834013976784e-05
1.4297770254708383e-05,1.4628103150745588e-05
1.4691783678612825e-05,1.4538773024995747e-05
1.4738541839133117e-05,1.4765573358813893e-05
1.4339612416402119e-05,1.4652031719265826e-05
1.4335488231998486e-05,1.4621782362397748e-05
1.4273036865044563e-05,1.4210479739710446e-05
1.4228641419935364e-05,1.445834717280863e-05
1.4056523250864663e-05,1.471827033073848e-05
1.3699877898584056e-05,1.4657764905598268e-05
1.3817284121022638e-05,1.4642696766888589e-05
1.3728796699005304e-05,1.4988421849405616e-05
1.315210735680382e-05,1.4592391422077488e-05
1.3692186013957288e-05,1.5068130595155867e-05
1.3684685658857116e-05,1.5155772102077961e-05
1.3566363099859826e-05,1.5166297975199899e-05
1.3379839650850869e-05,1.505209324688194e-05
1.3181110179427623e-05,1.4811345607930318e-05
1.2984093957646452e-05,1.5382431031107592e-05
1.2884290732910537e-05,1.5252518590552571e-05
1.2764483286687315e-05,1.54519282370568e-05
1.2766344913720688e-05,1.546563424537956e-05
1.2753599758190799e-05,1.547582328957848e-05
1.3108704276026953e-05,1.5636629666294393e-05
1.3228733011342179e-05,1.5986064346066187e-05
1.3297297525466703e-05,1.642697402864482e-05
1.3212431641815682e-05,1.625348122824076e-05
1.2929430325501833e-05,1.651408564068898e-05
1.2861408734916655e-05,1.6644661488673006e-05
1.248670465517168e-05,1.6782475663743063e-05
1.2865667575682091e-05,1.7126840735845168e-05
1.314909962272375e-05,1.7605274203415438e-05
1.331195771471687e-05,1.7652936867587296e-05
1.3115502627092805e-05,1.8338206828914614e-05
1.3104195320068833e-05,1.8383023506068545e-05
1.3279835841689926e-05,1.906191544528216e-05
1.3547860479919629e-05,1.93806766633501e-05
1.3653809689370401e-05,1.9743846645231577e-05
1.325836861019249e-05,1.9846307399657825e-05
1.3303144051836826e-05,2.02235431049267e-05
1.3487559232008305e-05,1.978883134917125e-05
1.353894987090539e-05,1.9751658824216147e-05
1.31690537783611e-05,2.0256261491632706e-05
1.3290818807083803e-05,2.0168278892990998e-05
1.337690436835507e-05,1.9893109396605717e-05
1.3187262814604253e-05,1.9408090593396698e-05
1.3078213014193635e-05,1.9530032240368318e-05
1.3495025773201954e-05,1.979031504510209e-05
1.3322861941040176e-05,1.9891257317517256e-05
1.3335698359608232e-05,1.979908667936226e-05
1.3448641734566942e-05,1.9621864883096203e-05
1.3435338896080672e-05,1.9556847362347102e-05
1.3186780264435056e-05,1.9403465842593843e-05
1.3261445786947248e-05,1.951890769387226e-05
1.3278940024745787e-05,1.9371687564700028e-05
1.2974004476116644e-05,1.8912431821240093e-05
1.3019365262454921e-05,1.9114442361017452e-05
1.3031953364740613e-05,1.8800311455014424e-05
1.2989683305336547e-05,1.8882248997601448e-05
1.3293172795743161e-05,1.887773089013579e-05
1.3105538891345993e-05,1.915596724102561e-05
1.304490276342328e-05,1.936816268127988e-05
1.3086183453144267e-05,1.9349957345408864e-05
1.3290441968945955e-05,1.9243154426678173e-05
1.3236887657306547e-05,1.930433165066623e-05
1.308401687341624e-05,1.9530210483618315e-05
1.2732742126183233e-05,1.9769136660642458e-05
1.2681975110115221e-05,1.9777193445938244e-05
1.243752513851442e-05,1.9777636709215466e-05
